Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
Zachary Wollard,American,Male,1974,-1,4,"{""Prints & Illustrated Books"": 4}"
Mihály Biró,Hungarian,Male,1886,1949,4,"{""Architecture & Design"": 4}"
Amy Granat,American,Female,1976,-1,2,"{""Photography"": 1, ""Film"": 1}"
Andrea Modica,American,Female,1960,-1,1,"{""Photography"": 1}"
Toshiko Okanoue,Japanese,Female,1928,-1,1,"{""Drawings"": 1}"
Julian Rosefeldt,German,Male,1965,-1,1,"{""Media and Performance Art"": 1}"
Guido van der Werve,Dutch,Male,1977,-1,2,"{""Media and Performance Art"": 2}"
Edith Dekyndt,Belgian,Female,1960,-1,5,"{""Media and Performance Art"": 5}"
Tomas Saraceno,Argentine,Male,1973,-1,2,"{""Media and Performance Art"": 2}"
Grete Lihotzky,Austrian,Female,1897,2000,1,"{""Architecture & Design"": 1}"
Georg Tappert,German,Male,1880,1957,2,"{""Prints & Illustrated Books"": 2}"
Karl Jacob Hirsch,German,Male,1892,1952,3,"{""Prints & Illustrated Books"": 3}"
Georg Alexander Mathéy,German,Male,1884,1968,1,"{""Prints & Illustrated Books"": 1}"
Aloys Wach,Austrian,Male,1892,1940,1,"{""Prints & Illustrated Books"": 1}"
Grete Stern,Argentine,Female,1904,1999,5,"{""Photography"": 5}"
Toshio Iwai,Japanese,Male,1962,-1,1,"{""Architecture & Design"": 1}"
Noémi Raymond,American,Female,1889,1980,10,"{""Architecture & Design"": 10}"
Song Dong,Chinese,Male,1966,-1,1,"{""Media and Performance Art"": 1}"
Auguste Belloc,French,Male,1800,1867,1,"{""Photography"": 1}"
Paul Marcellin Berthier,French,Male,1822,1912,1,"{""Photography"": 1}"
Alphonse Bertillon,French,Male,1853,1914,2,"{""Photography"": 2}"
Eugène Constant,French,Male,1840,1879,1,"{""Photography"": 1}"
Louis-Joseph Deflube,French,Male,1797,1884,1,"{""Photography"": 1}"
Frédéric A. Flacheron,French,Male,1813,1883,1,"{""Photography"": 1}"
André Giroux,French,Male,1801,1879,1,"{""Photography"": 1}"
Auguste Vacquerie,French,Male,1819,1895,2,"{""Photography"": 2}"
Louis Adolphe Humbert de Molard,French,Male,1800,1874,1,"{""Photography"": 1}"
Jean-Charles Langlois,French,Male,1789,1870,1,"{""Photography"": 1}"
Bengt af Klintberg,Swedish,Male,1938,-1,1,"{""Prints & Illustrated Books"": 1}"
Eric Andersen,Danish,Male,1940,-1,18,"{""Prints & Illustrated Books"": 18}"
Sylvano Bussotti,Italian,Male,1931,-1,3,"{""Prints & Illustrated Books"": 3}"
Henning Christiansen,Danish,Male,1932,2008,4,"{""Prints & Illustrated Books"": 4}"
Giuseppe Chiari,Italian,Male,1926,2007,9,"{""Prints & Illustrated Books"": 9}"
Philip Corner,American,Male,1933,-1,109,"{""Prints & Illustrated Books"": 109}"
Toshi Ichiyanagi,Japanese,Male,1933,-1,4,"{""Prints & Illustrated Books"": 4}"
Terry Jennings,American,Male,1940,1981,1,"{""Prints & Illustrated Books"": 1}"
